date,order_id,order_total,Overall_Avg_Total,Difference_from_Avg_Total,MAD_Overall,AVG_Total_BY_ITEM,Difference_from_AVG_by_ITEM,MAD_by_item
1-May,163-1,18.01,43.962370173102485,-25.952370173102484,0.00000000000004436871051061238,50.30396551724142,-32.29396551724142,-0.0000000000000019916011435086696
1-May,162-1,19.01,43.962370173102485,-24.952370173102484,0.00000000000004436871051061238,50.30396551724142,-31.29396551724142,-0.0000000000000019916011435086696
1-May,161-1,23.65,43.962370173102485,-20.312370173102487,0.00000000000004436871051061238,50.30396551724142,-26.653965517241424,-0.0000000000000019916011435086696
1-May,160-1,41.3,43.962370173102485,-2.662370173102488,0.00000000000004436871051061238,50.30396551724142,-9.003965517241426,-0.0000000000000019916011435086696
1-May,159-1,18.01,43.962370173102485,-25.952370173102484,0.00000000000004436871051061238,50.30396551724142,-32.29396551724142,-0.0000000000000019916011435086696
1-May,157-1,25.65,43.962370173102485,-18.312370173102487,0.00000000000004436871051061238,50.30396551724142,-24.653965517241424,-0.0000000000000019916011435086696
1-May,155-1,57,43.962370173102485,13.037629826897515,0.00000000000004436871051061238,50.30396551724142,6.696034482758577,-0.0000000000000019916011435086696
1-May,153-1,48.66,43.962370173102485,4.697629826897511,0.00000000000004436871051061238,50.30396551724142,-1.6439655172414263,-0.0000000000000019916011435086696
1-May,151-1,18.01,43.962370173102485,-25.952370173102484,0.00000000000004436871051061238,50.30396551724142,-32.29396551724142,-0.0000000000000019916011435086696
1-May,150-1,20.01,43.962370173102485,-23.952370173102484,0.00000000000004436871051061238,50.30396551724142,-30.29396551724142,-0.0000000000000019916011435086696
1-May,149-1,89.51,43.962370173102485,45.54762982689752,0.00000000000004436871051061238,50.30396551724142,39.20603448275858,-0.0000000000000019916011435086696
1-May,148-1,61.67,43.962370173102485,17.707629826897517,0.00000000000004436871051061238,50.30396551724142,11.366034482758579,-0.0000000000000019916011435086696
1-May,146-1,25.65,43.962370173102485,-18.312370173102487,0.00000000000004436871051061238,50.30396551724142,-24.653965517241424,-0.0000000000000019916011435086696
1-May,144-1,41.3,43.962370173102485,-2.662370173102488,0.00000000000004436871051061238,50.30396551724142,-9.003965517241426,-0.0000000000000019916011435086696
1-May,143-1,36.02,43.962370173102485,-7.942370173102482,0.00000000000004436871051061238,50.30396551724142,-14.28396551724142,-0.0000000000000019916011435086696
1-May,142-1,57.45,43.962370173102485,13.487629826897518,0.00000000000004436871051061238,50.30396551724142,7.14603448275858,-0.0000000000000019916011435086696
1-May,140-1,40.66,43.962370173102485,-3.3023701731024886,0.00000000000004436871051061238,50.30396551724142,-9.643965517241426,-0.0000000000000019916011435086696
1-May,138-1,45.66,43.962370173102485,1.6976298268975114,0.00000000000004436871051061238,50.30396551724142,-4.643965517241426,-0.0000000000000019916011435086696
1-May,137-1,36.02,43.962370173102485,-7.942370173102482,0.00000000000004436871051061238,50.30396551724142,-14.28396551724142,-0.0000000000000019916011435086696
1-May,136-1,38.66,43.962370173102485,-5.302370173102489,0.00000000000004436871051061238,50.30396551724142,-11.643965517241426,-0.0000000000000019916011435086696
1-May,135-1,35.1,43.962370173102485,-8.862370173102484,0.00000000000004436871051061238,50.30396551724142,-15.203965517241421,-0.0000000000000019916011435086696
1-May,134-1,59.31,43.962370173102485,15.347629826897517,0.00000000000004436871051061238,50.30396551724142,9.00603448275858,-0.0000000000000019916011435086696
1-May,133-1,82.6,43.962370173102485,38.63762982689751,0.00000000000004436871051061238,50.30396551724142,32.29603448275857,-0.0000000000000019916011435086696
1-May,132-1,96.29,43.962370173102485,52.32762982689752,0.00000000000004436871051061238,50.30396551724142,45.98603448275858,-0.0000000000000019916011435086696
1-May,132-2,37.62,43.962370173102485,-6.342370173102488,0.00000000000004436871051061238,50.30396551724142,-12.683965517241425,-0.0000000000000019916011435086696
1-May,132-3,67.33,43.962370173102485,23.367629826897513,0.00000000000004436871051061238,50.30396551724142,17.026034482758575,-0.0000000000000019916011435086696
1-May,131-1,44,43.962370173102485,0.03762982689751482,0.00000000000004436871051061238,50.30396551724142,-6.303965517241423,-0.0000000000000019916011435086696
1-May,130-1,18.95,43.962370173102485,-25.012370173102486,0.00000000000004436871051061238,50.30396551724142,-31.353965517241424,-0.0000000000000019916011435086696
1-May,129-1,18.01,43.962370173102485,-25.952370173102484,0.00000000000004436871051061238,50.30396551724142,-32.29396551724142,-0.0000000000000019916011435086696
1-May,128-1,23.95,43.962370173102485,-20.012370173102486,0.00000000000004436871051061238,50.30396551724142,-26.353965517241424,-0.0000000000000019916011435086696
1-May,127-1,20.65,43.962370173102485,-23.312370173102487,0.00000000000004436871051061238,50.30396551724142,-29.653965517241424,-0.0000000000000019916011435086696
1-May,126-1,25.65,43.962370173102485,-18.312370173102487,0.00000000000004436871051061238,50.30396551724142,-24.653965517241424,-0.0000000000000019916011435086696
1-May,124-1,41.02,43.962370173102485,-2.942370173102482,0.00000000000004436871051061238,50.30396551724142,-9.28396551724142,-0.0000000000000019916011435086696
1-May,123-1,40.02,43.962370173102485,-3.942370173102482,0.00000000000004436871051061238,50.30396551724142,-10.28396551724142,-0.0000000000000019916011435086696
1-May,122-1,38.62,43.962370173102485,-5.342370173102488,0.00000000000004436871051061238,50.30396551724142,-11.683965517241425,-0.0000000000000019916011435086696
1-May,121-1,41.3,43.962370173102485,-2.662370173102488,0.00000000000004436871051061238,50.30396551724142,-9.003965517241426,-0.0000000000000019916011435086696
1-May,120-1,20.65,43.962370173102485,-23.312370173102487,0.00000000000004436871051061238,50.30396551724142,-29.653965517241424,-0.0000000000000019916011435086696
